Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184.JPG,Grape___Black_rot,611.8187746062994,694.6552173104346,732.3918553149605,973.760927521855,0.47042091091225763,0.4621423987956491,0.46662893169732966,0.4562462474773645,12.902805118110242,14.28482856965714,14.465551181102363,16.606733213466427,5.618303106939716,5.716992215027251,5.66078862376652,5.760753772560228,0.1856606068558819,0.18007294834107307,0.18576478931522322,0.17767026382834464,0.43088351889563137,0.4243500304478286,0.43100439593491763,0.4215095062134953,0.8856813321835769,0.8703740317282329,0.8631595062710014,0.8182915783977682
00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244.JPG,Grape___Black_rot,817.7074311023624,815.1387562775125,741.2436638779527,1157.832413664827,0.40176981134604983,0.39548695603116013,0.4045087607920437,0.38900642880238573,16.15674212598426,16.23727447454895,15.468442421259844,19.832165664331328,6.425120658136337,6.4804005745420765,6.395473002567182,6.547364848520876,0.13124768180688715,0.12604922928241294,0.13259122154230643,0.12621506202774319,0.3622812192301543,0.3550341241098001,0.3641307753298345,0.35526759214392634,0.8502036173930877,0.8507259306370388,0.8641068497760764,0.7879694043534756
00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508.JPG,Grape___Black_rot,566.3010580708662,686.4240808481617,516.8251722440946,687.7283154566309,0.5280827390563536,0.5199332806959874,0.5304770473719058,0.5177291944064397,12.206446850393704,13.464566929133857,11.763779527559057,13.750139500279001,5.241493082583646,5.319916094345963,5.229824270343344,5.346913394253538,0.22089858205595334,0.21415432886045863,0.2211985678243819,0.21262544478092862,0.46999849154646584,0.4627681156480626,0.4703175180921735,0.4611132667587527,0.9234365026605903,0.9073888809722845,0.9301256069786491,0.9072129159530856
02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot 0753.JPG,Grape___Black_rot,341.8618356299213,529.0702461404921,464.68368602362216,573.5904271808544,0.5728939935684232,0.5575814189693533,0.5668447441738628,0.5560220746365997,8.461491141732283,11.007254014508026,10.294291338582678,11.38223076446153,4.6365795779965095,4.762750195591058,4.696752790798892,4.769940713418161,0.28486646261622606,0.2777479260085928,0.285055548992934,0.27767814367546384,0.5337288287288088,0.5270179560589875,0.5339059364653422,0.5269517470086458,0.9429107684325686,0.9119022276429872,0.9224001283789741,0.9044889799633109
02f75392-dbad-4ab8-a35d-d391f9d57113___FAM_B.Rot 3323.JPG,Grape___Black_rot,494.2865403543306,621.1611383222769,470.07861712598424,546.8950337900676,0.5755926753174129,0.5659824519977363,0.5768007555209711,0.5688278165041271,10.380659448818896,11.864467728935459,10.303272637795278,11.075578151156305,4.639207994199664,4.730229152707829,4.644210757459985,4.708217016146453,0.29633360578977,0.28922822592374686,0.2969324818044168,0.2895678293061589,0.5443653238311291,0.5377994290846234,0.5449151143108593,0.5381150706922813,0.912884738172371,0.8908911566501911,0.9171512504039782,0.9039362238085962
03a8e589-18ca-4596-8db7-ff1efe9b3b05___FAM_B.Rot 0755.JPG,Grape___Black_rot,513.314037893701,750.8832537665073,596.6681225393701,864.8668857337715,0.47619994641771884,0.4633933716081206,0.4707640106590706,0.4587736698870076,11.099101870078742,14.101308202616403,12.794844980314963,15.28092256184512,5.428875178515489,5.570631945344023,5.490031550378022,5.599233959321431,0.1873091085659712,0.18180462152975876,0.18920751989453205,0.18090487783678763,0.4327922233196562,0.4263855315671004,0.43497990746071485,0.42532914059206856,0.9482692704408919,0.9243510983384494,0.9398723919610722,0.9128676399946055
04af92d1-7da1-49a8-aba6-f7110b52a90f___FAM_B.Rot 3546.JPG,Grape___Black_rot,495.71407480314974,647.5522351044701,493.0484744094489,528.6167772335544,0.5003876209815891,0.4908156487036648,0.504520201681779,0.49693089347943786,11.71419783464567,13.486514973029946,11.761072834645672,12.207328414656828,5.392788144894906,5.479923823614533,5.3938571121990195,5.45213856317802,0.2197581528952122,0.21241472546805204,0.2200974923190082,0.21378242421684165,0.46878369521050134,0.4608847203673084,0.469145491632402,0.4623661149098641,0.9018987818066414,0.87214036603858,0.9024263009131798,0.8956242539537469
04bd87b8-f596-4ccc-a9c9-6af129535edc___FAM_B.Rot 0578.JPG,Grape___Black_rot,473.79687499999994,630.1036642073283,473.25098425196853,565.5659991319982,0.5089224158338106,0.4949789724827603,0.5058210283206256,0.49827717159207346,10.98154527559055,13.080662161324321,11.312007874015748,12.10825221650443,5.285675667870167,5.3929448635004,5.295255479480812,5.372509496706654,0.22264537613792035,0.21539053153126453,0.2224176342883936,0.21550378006825816,0.4718531298380041,0.4641018546949199,0.4716117410417107,0.46422384694052304,0.9208740719085622,0.8949628196961738,0.9209652377949442,0.9057211357447459
04e6bfe5-ccc3-4888-87bb-780035a243e1___FAM_B.Rot 0577.JPG,Grape___Black_rot,566.8232037401574,664.6221712443424,547.3030880905512,713.4234608469217,0.4696698629967058,0.45893304297548987,0.4719883835776386,0.4583101612631652,12.835014763779526,13.978113956227913,12.599593996062996,14.507595015190033,5.769110649148272,5.859699967784815,5.764348288512404,5.869482937274147,0.18870249172383124,0.18229752616737546,0.18944332395500743,0.18214126117631613,0.4343990006017869,0.42696314380444533,0.43525087473204166,0.4267801086933599,0.9276769711944672,0.9152985851668525,0.9301723888699217,0.9090792045114017
04f22aa8-7ef0-4cce-8708-394e97a328b1___FAM_B.Rot 3391.JPG,Grape___Black_rot,427.01168799212587,580.8963977927955,446.86134350393684,496.6203732407464,0.536831803768657,0.5244724203903681,0.5363302706688552,0.5275228030979848,10.342396653543306,12.384772769545537,10.61072834645669,11.291834583669166,5.033133220729867,5.134644083694113,5.02934963089174,5.10880801175859,0.24937070290400343,0.24293222130991338,0.25040920119682025,0.24226452160511733,0.4993703063899609,0.49288154896477243,0.5004090338880987,0.4922037399341022,0.9006610345630217,0.8652475326070622,0.8960432587543649,0.8847973220249463
